0.413196,-0.0021053,2.355
0.365941,-0.00849738,2.34
0.320024,-0.00208588,2.331
0.269552,0.00430633,2.335
0.224855,0.0107069,2.335
0.17865,0.0169719,2.316
0.126733,0.0231154,2.295
0.0811815,0.0288748,2.253
0.0373944,0.0345588,2.221
-0.011216,0.0341862,2.197
-0.0530538,0.0399534,2.183
-0.0937333,0.0453452,2.155
-0.140126,0.0509337,2.142
-0.179408,0.0562338,2.121
-0.219405,0.0618508,2.115
-0.263384,0.0670397,2.097
-0.304027,0.0728887,2.101
-0.344941,0.0730272,2.106
-0.385987,0.0789346,2.111
-0.435577,0.0853753,2.129
-0.476476,0.0912263,2.131
-0.513761,0.0963978,2.118
-0.555938,0.101436,2.104
-0.598601,0.107622,2.114
-0.63708,0.113055,2.109
-0.680804,0.119415,2.121
-0.729028,0.119746,2.128
-0.76528,0.124838,2.117
-0.817878,0.132588,2.15
-0.859789,0.138593,2.153
